date,site,parameter,index_value,description,health_advisory,health_effects
1/7/2018,Liberty 2,PM25T,96,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2018,Liberty,SO2,39,Good,,
1/7/2018,Flag Plaza,CO,0,Good,,
1/7/2018,Harrison Township,OZONE,27,Good,,
1/7/2018,South Fayette,OZONE,34,Good,,
1/7/2018,Flag Plaza,PM10,30,Good,,
1/7/2018,Lawrenceville,PM25B,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2018,Parkway East,PM25T,72,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/7/2018,Avalon,SO2,1,Good,,
1/7/2018,Lawrenceville 2,SO2,3,Good,,
1/7/2018,Harrison Township,NO2,30,Good,,
1/7/2018,North Braddock,SO2,29,Good,,
1/7/2018,South Fayette,SO2,0,Good,,
1/8/2018,Glassport High Street,PM10,41,Good,,
1/8/2018,Parkway East,CO,6,Good,,
1/8/2018,Parkway East,NO2,24,Good,,
1/8/2018,Flag Plaza,PM10,30,Good,,
1/8/2018,North Braddock,PM10B,45,Good,,
1/8/2018,Lawrenceville,PM25B,35,Good,,
1/8/2018,Lincoln,PM10,22,Good,,
1/8/2018,Lawrenceville 2,SO2,2,Good,,
1/8/2018,South Fayette,SO2,0,Good,,
1/8/2018,Flag Plaza,CO,0,Good,,
1/8/2018,South Fayette,OZONE,33,Good,,
1/8/2018,Avalon,SO2,1,Good,,
1/8/2018,Liberty,SO2,40,Good,,
1/8/2018,Harrison Township,NO2,17,Good,,
1/8/2018,Harrison Township,OZONE,26,Good,,
1/8/2018,Avalon,PM25T,40,Good,,
1/8/2018,North Braddock,SO2,40,Good,,
1/8/2018,Lawrenceville 2,CO,3,Good,,
1/8/2018,Lawrenceville,OZONE,23,Good,,
1/8/2018,Lincoln,PM25,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2018,Liberty 2,PM25T,65,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/8/2018,Parkway East,PM25T,38,Good,,
1/8/2018,Liberty 2,PM10,30,Good,,
1/9/2018,Flag Plaza,CO,0,Good,,
1/9/2018,North Braddock,PM10B,17,Good,,
1/9/2018,Harrison Township,NO2,29,Good,,
1/9/2018,Flag Plaza,PM10,12,Good,,
1/9/2018,Lincoln,PM25,50,Good,,
1/9/2018,North Braddock,SO2,0,Good,,
1/9/2018,Parkway East,PM25T,62,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2018,Lawrenceville 2,SO2,1,Good,,
1/9/2018,South Fayette,SO2,0,Good,,
1/9/2018,Parkway East,CO,7,Good,,
1/9/2018,Harrison Township,OZONE,26,Good,,
1/9/2018,South Fayette,OZONE,30,Good,,
1/9/2018,Glassport High Street,PM10,8,Good,,
1/9/2018,Lawrenceville,PM25B,62,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2018,Avalon,PM25T,60,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2018,Avalon,SO2,0,Good,,
1/9/2018,Liberty,SO2,3,Good,,
1/9/2018,Lawrenceville 2,CO,5,Good,,
1/9/2018,Lawrenceville,OZONE,23,Good,,
1/9/2018,Liberty 2,PM10,14,Good,,
1/9/2018,Liberty 2,PM25T,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/9/2018,Parkway East,NO2,25,Good,,
1/9/2018,Lincoln,PM10,24,Good,,
1/10/2018,Flag Plaza,CO,0,Good,,
1/10/2018,Harrison Township,OZONE,15,Good,,
1/10/2018,South Fayette,OZONE,29,Good,,
1/10/2018,Lawrenceville,PM25B,83,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/10/2018,Avalon,PM25T,93,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/10/2018,Liberty 2,PM25T,69,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/10/2018,Avalon,SO2,4,Good,,
1/10/2018,Liberty,SO2,11,Good,,
1/10/2018,Harrison Township,NO2,25,Good,,
1/10/2018,North Braddock,SO2,3,Good,,
1/10/2018,North Braddock,PM10B,33,Good,,
1/10/2018,Parkway East,PM25T,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/10/2018,Lawrenceville 2,SO2,5,Good,,
1/10/2018,South Fayette,SO2,7,Good,,
1/10/2018,Parkway East,CO,5,Good,,
1/10/2018,Lawrenceville,OZONE,1,Good,,
1/10/2018,Glassport High Street,PM10,25,Good,,
1/10/2018,Parkway East,NO2,23,Good,,
1/10/2018,Lincoln,PM10,44,Good,,
1/10/2018,Lawrenceville 2,CO,10,Good,,
1/10/2018,Liberty 2,PM10,14,Good,,
1/10/2018,Flag Plaza,PM10,33,Good,,
1/10/2018,Lincoln,PM25,86,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/11/2018,Flag Plaza,CO,0,Good,,
1/11/2018,Parkway East,NO2,24,Good,,
1/11/2018,Lincoln,PM10,44,Good,,
1/11/2018,Lawrenceville,PM25B,49,Good,,
1/11/2018,Parkway East,CO,4,Good,,
1/11/2018,Harrison Township,OZONE,27,Good,,
1/11/2018,Lawrenceville,OZONE,19,Good,,
1/11/2018,South Fayette,OZONE,33,Good,,
1/11/2018,Glassport High Street,PM10,38,Good,,
1/11/2018,Lincoln,PM25,28,Good,,
1/11/2018,Avalon,PM25T,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/11/2018,Liberty 2,PM25T,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/11/2018,Parkway East,PM25T,26,Good,,
1/11/2018,Avalon,SO2,6,Good,,
1/11/2018,Liberty,SO2,85,Moderate,,
1/11/2018,Lawrenceville 2,CO,10,Good,,
1/11/2018,Liberty 2,PM10,19,Good,,
1/11/2018,Harrison Township,NO2,30,Good,,
1/11/2018,North Braddock,SO2,30,Good,,
1/11/2018,South Fayette,SO2,3,Good,,
1/11/2018,Flag Plaza,PM10,39,Good,,
1/11/2018,North Braddock,PM10B,30,Good,,
1/11/2018,Lawrenceville 2,SO2,7,Good,,
1/12/2018,Lawrenceville 2,CO,5,Good,,
1/12/2018,Parkway East,CO,6,Good,,
1/12/2018,Parkway East,NO2,16,Good,,
1/12/2018,Lawrenceville,OZONE,33,Good,,
1/12/2018,Glassport High Street,PM10,27,Good,,
1/12/2018,Lincoln,PM10,13,Good,,
1/12/2018,Flag Plaza,CO,0,Good,,
1/12/2018,North Braddock,PM10B,22,Good,,
1/12/2018,Lawrenceville,PM25B,13,Good,,
1/12/2018,Lawrenceville 2,SO2,1,Good,,
1/12/2018,Harrison Township,NO2,28,Good,,
1/12/2018,Harrison Township,OZONE,31,Good,,
1/12/2018,Lincoln,PM25,30,Good,,
1/12/2018,Parkway East,PM25T,16,Good,,
1/12/2018,North Braddock,SO2,1,Good,,
1/12/2018,Liberty 2,PM25T,16,Good,,
1/12/2018,Liberty,SO2,40,Good,,
1/12/2018,South Fayette,SO2,0,Good,,
1/12/2018,Flag Plaza,PM10,17,Good,,
1/12/2018,Avalon,PM25T,18,Good,,
1/12/2018,South Fayette,OZONE,35,Good,,
1/12/2018,Liberty 2,PM10,13,Good,,
1/12/2018,Avalon,SO2,0,Good,,
1/13/2018,Flag Plaza,CO,0,Good,,
1/13/2018,Lawrenceville 2,SO2,0,Good,,
1/13/2018,Harrison Township,NO2,7,Good,,
1/13/2018,North Braddock,SO2,0,Good,,
1/13/2018,Glassport High Street,PM10,5,Good,,
1/13/2018,South Fayette,SO2,0,Good,,
1/13/2018,Flag Plaza,PM10,6,Good,,
1/13/2018,North Braddock,PM10B,9,Good,,
1/13/2018,Lawrenceville 2,CO,2,Good,,
1/13/2018,Lawrenceville,OZONE,37,Good,,
1/13/2018,Liberty 2,PM10,3,Good,,
1/13/2018,Lincoln,PM25,17,Good,,
1/13/2018,Parkway East,PM25T,20,Good,,
1/13/2018,Parkway East,CO,5,Good,,
1/13/2018,Harrison Township,OZONE,35,Good,,
1/13/2018,South Fayette,OZONE,37,Good,,
1/13/2018,Avalon,SO2,0,Good,,
1/13/2018,Lincoln,PM10,6,Good,,
1/13/2018,Liberty,SO2,0,Good,,
1/13/2018,Lawrenceville,PM25B,20,Good,,
1/13/2018,Avalon,PM25T,18,Good,,
1/13/2018,Liberty 2,PM25T,15,Good,,
1/14/2018,Harrison Township,NO2,30,Good,,
1/14/2018,North Braddock,SO2,0,Good,,
1/14/2018,North Braddock,PM10B,10,Good,,
1/14/2018,Lincoln,PM25,68,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2018,Liberty 2,PM25T,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/14/2018,Parkway East,PM25T,32,Good,,
1/14/2018,Liberty,SO2,11,Good,,
1/14/2018,South Fayette,SO2,3,Good,,
1/14/2018,Flag Plaza,CO,0,Good,,
1/14/2018,Lawrenceville 2,SO2,3,Good,,
1/14/2018,Lawrenceville,PM25B,39,Good,,
1/14/2018,Lawrenceville 2,CO,4,Good,,
1/14/2018,Lawrenceville,OZONE,30,Good,,
1/14/2018,Liberty 2,PM10,15,Good,,
1/14/2018,Lincoln,PM10,27,Good,,
1/14/2018,Glassport High Street,PM10,6,Good,,
1/14/2018,Parkway East,CO,6,Good,,
1/14/2018,Harrison Township,OZONE,30,Good,,
1/14/2018,South Fayette,OZONE,30,Good,,
1/14/2018,Flag Plaza,PM10,8,Good,,
1/14/2018,Avalon,PM25T,37,Good,,
1/14/2018,Avalon,SO2,1,Good,,
1/15/2018,Flag Plaza,CO,0,Good,,
1/15/2018,Lawrenceville 2,SO2,3,Good,,
1/15/2018,Harrison Township,NO2,20,Good,,
1/15/2018,North Braddock,SO2,7,Good,,
1/15/2018,Lawrenceville,PM25B,43,Good,,
1/15/2018,Parkway East,PM25T,38,Good,,
1/15/2018,Liberty,SO2,3,Good,,
1/15/2018,Liberty 2,PM25T,36,Good,,
1/15/2018,Lawrenceville 2,CO,5,Good,,
1/15/2018,Liberty 2,PM10,15,Good,,
1/15/2018,Lincoln,PM10,27,Good,,
1/15/2018,Parkway East,CO,3,Good,,
1/15/2018,Harrison Township,OZONE,29,Good,,
1/15/2018,South Fayette,OZONE,28,Good,,
1/15/2018,Flag Plaza,PM10,10,Good,,
1/15/2018,Lincoln,PM25,22,Good,,
1/15/2018,Avalon,PM25T,34,Good,,
1/15/2018,Avalon,SO2,1,Good,,
1/15/2018,Lawrenceville,OZONE,19,Good,,
1/15/2018,Glassport High Street,PM10,6,Good,,
1/15/2018,North Braddock,PM10B,15,Good,,
1/15/2018,South Fayette,SO2,3,Good,,
1/16/2018,Lawrenceville 2,CO,4,Good,,
1/16/2018,Lawrenceville,OZONE,22,Good,,
1/16/2018,Glassport High Street,PM10,8,Good,,
1/16/2018,Liberty 2,PM10,7,Good,,
1/16/2018,Lincoln,PM10,12,Good,,
1/16/2018,Harrison Township,NO2,25,Good,,
1/16/2018,Lawrenceville 2,SO2,2,Good,,
1/16/2018,North Braddock,SO2,0,Good,,
1/16/2018,Flag Plaza,CO,0,Good,,
1/16/2018,Avalon,PM25T,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/16/2018,Liberty,SO2,4,Good,,
1/16/2018,Parkway East,PM25T,53,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/16/2018,South Fayette,SO2,7,Good,,
1/16/2018,North Braddock,PM10B,16,Good,,
1/16/2018,South Fayette,OZONE,27,Good,,
1/16/2018,Lawrenceville,PM25B,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/16/2018,Liberty 2,PM25T,47,Good,,
1/16/2018,Avalon,SO2,0,Good,,
1/16/2018,Parkway East,CO,4,Good,,
1/16/2018,Harrison Township,OZONE,26,Good,,
1/16/2018,Flag Plaza,PM10,10,Good,,
1/17/2018,Harrison Township,NO2,21,Good,,
1/17/2018,Parkway East,NO2,17,Good,,
1/17/2018,North Braddock,SO2,0,Good,,
1/17/2018,Parkway East,PM25T,73,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/17/2018,Lawrenceville 2,SO2,2,Good,,
1/17/2018,Lawrenceville 2,CO,3,Good,,
1/17/2018,Lawrenceville,OZONE,21,Good,,
1/17/2018,Liberty 2,PM10,12,Good,,
1/17/2018,North Braddock,PM10B,21,Good,,
1/17/2018,Parkway East,CO,6,Good,,
1/17/2018,Glassport High Street,PM10,12,Good,,
1/17/2018,South Fayette,SO2,0,Good,,
1/17/2018,Harrison Township,OZONE,24,Good,,
1/17/2018,Flag Plaza,PM10,12,Good,,
1/17/2018,Flag Plaza,CO,0,Good,,
1/17/2018,South Fayette,OZONE,24,Good,,
1/17/2018,Lawrenceville,PM25B,68,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/17/2018,Avalon,PM25T,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/17/2018,Avalon,SO2,1,Good,,
1/17/2018,Liberty,SO2,9,Good,,
1/17/2018,Liberty 2,PM25T,70,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Flag Plaza,PM10,16,Good,,
1/18/2018,North Braddock,PM10B,25,Good,,
1/18/2018,Lincoln,PM25,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Parkway East,PM25T,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Lawrenceville 2,SO2,5,Good,,
1/18/2018,South Fayette,SO2,3,Good,,
1/18/2018,Harrison Township,NO2,16,Good,,
1/18/2018,Parkway East,NO2,13,Good,,
1/18/2018,North Braddock,SO2,6,Good,,
1/18/2018,Flag Plaza,CO,0,Good,,
1/18/2018,Glassport High Street,PM10,12,Good,,
1/18/2018,Avalon,PM25T,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Liberty 2,PM25T,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Liberty,SO2,16,Good,,
1/18/2018,Lincoln,PM10,25,Good,,
1/18/2018,Lawrenceville 2,CO,3,Good,,
1/18/2018,Lawrenceville,OZONE,24,Good,,
1/18/2018,Liberty 2,PM10,15,Good,,
1/18/2018,Parkway East,CO,4,Good,,
1/18/2018,Harrison Township,OZONE,27,Good,,
1/18/2018,South Fayette,OZONE,31,Good,,
1/18/2018,Lawrenceville,PM25B,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/18/2018,Avalon,SO2,3,Good,,
1/19/2018,Lincoln,PM25,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/19/2018,Lawrenceville 2,SO2,4,Good,,
1/19/2018,Harrison Township,NO2,18,Good,,
1/19/2018,Parkway East,NO2,13,Good,,
1/19/2018,North Braddock,SO2,7,Good,,
1/19/2018,Flag Plaza,CO,0,Good,,
1/19/2018,Harrison Township,OZONE,32,Good,,
1/19/2018,South Fayette,OZONE,39,Good,,
1/19/2018,Liberty 2,PM25T,64,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/19/2018,Parkway East,PM25T,37,Good,,
1/19/2018,Avalon,SO2,3,Good,,
1/19/2018,Liberty,SO2,125,Unhealthy for Sensitive Groups,People with asthma should consider limiting outdoor exertion.,"Increasing likelihood of respiratory symptoms, such as chest tightness and breathing discomfort, in people with asthma."
1/19/2018,Flag Plaza,PM10,18,Good,,
1/19/2018,North Braddock,PM10B,24,Good,,
1/19/2018,Lawrenceville,PM25B,33,Good,,
1/19/2018,Avalon,PM25T,40,Good,,
1/19/2018,South Fayette,SO2,3,Good,,
1/19/2018,Lincoln,PM10,30,Good,,
1/19/2018,Parkway East,CO,2,Good,,
1/19/2018,Lawrenceville,OZONE,31,Good,,
1/19/2018,Glassport High Street,PM10,10,Good,,
1/19/2018,Lawrenceville 2,CO,3,Good,,
1/19/2018,Liberty 2,PM10,19,Good,,
1/20/2018,Flag Plaza,CO,0,Good,,
1/20/2018,Lawrenceville 2,CO,5,Good,,
1/20/2018,South Fayette,OZONE,43,Good,,
1/20/2018,Liberty 2,PM10,21,Good,,
1/20/2018,Avalon,SO2,3,Good,,
1/20/2018,Lawrenceville,PM25B,41,Good,,
1/20/2018,Avalon,PM25T,46,Good,,
1/20/2018,Liberty,SO2,47,Good,,
1/20/2018,Harrison Township,NO2,39,Good,,
1/20/2018,Parkway East,NO2,15,Good,,
1/20/2018,Lawrenceville,OZONE,32,Good,,
1/20/2018,Glassport High Street,PM10,9,Good,,
1/20/2018,Liberty 2,PM25T,66,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/20/2018,Parkway East,PM25T,36,Good,,
1/20/2018,North Braddock,SO2,34,Good,,
1/20/2018,Flag Plaza,PM10,18,Good,,
1/20/2018,North Braddock,PM10B,24,Good,,
1/20/2018,Lincoln,PM25,62,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/20/2018,Lawrenceville 2,SO2,3,Good,,
1/20/2018,Lincoln,PM10,31,Good,,
1/20/2018,South Fayette,SO2,1,Good,,
1/20/2018,Parkway East,CO,5,Good,,
1/20/2018,Harrison Township,OZONE,38,Good,,
1/21/2018,Glassport High Street,PM10,10,Good,,
1/21/2018,Lincoln,PM25,68,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2018,Avalon,PM25T,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2018,Liberty,SO2,52,Moderate,,
1/21/2018,Lawrenceville 2,CO,9,Good,,
1/21/2018,Parkway East,NO2,21,Good,,
1/21/2018,Lawrenceville,OZONE,17,Good,,
1/21/2018,Liberty 2,PM10,32,Good,,
1/21/2018,Parkway East,CO,6,Good,,
1/21/2018,Flag Plaza,PM10,21,Good,,
1/21/2018,North Braddock,PM10B,32,Good,,
1/21/2018,Lincoln,PM10,31,Good,,
1/21/2018,South Fayette,SO2,1,Good,,
1/21/2018,Harrison Township,NO2,38,Good,,
1/21/2018,Harrison Township,OZONE,17,Good,,
1/21/2018,Liberty 2,PM25T,84,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2018,North Braddock,SO2,41,Good,,
1/21/2018,Flag Plaza,CO,0,Good,,
1/21/2018,South Fayette,OZONE,31,Good,,
1/21/2018,Lawrenceville,PM25B,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2018,Parkway East,PM25T,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/21/2018,Avalon,SO2,1,Good,,
1/21/2018,Lawrenceville 2,SO2,3,Good,,
1/22/2018,Parkway East,CO,7,Good,,
1/22/2018,Flag Plaza,PM10,21,Good,,
1/22/2018,Lawrenceville 2,SO2,5,Good,,
1/22/2018,North Braddock,PM10B,30,Good,,
1/22/2018,Glassport High Street,PM10,26,Good,,
1/22/2018,Lincoln,PM25,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/22/2018,Avalon,PM25T,58,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/22/2018,Liberty,SO2,46,Good,,
1/22/2018,Lawrenceville 2,CO,9,Good,,
1/22/2018,Harrison Township,NO2,29,Good,,
1/22/2018,Parkway East,NO2,21,Good,,
1/22/2018,Lawrenceville,OZONE,25,Good,,
1/22/2018,Liberty 2,PM10,30,Good,,
1/22/2018,Liberty 2,PM25T,60,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
1/22/2018,Parkway East,PM25T,45,Good,,
1/22/2018,North Braddock,SO2,30,Good,,
1/22/2018,Flag Plaza,CO,0,Good,,
1/22/2018,Harrison Township,OZONE,29,Good,,
1/22/2018,South Fayette,OZONE,37,Good,,
1/22/2018,Avalon,SO2,1,Good,,
1/22/2018,Lawrenceville,PM25B,46,Good,,
1/22/2018,Lincoln,PM10,37,Good,,
1/22/2018,South Fayette,SO2,3,Good,,
1/23/2018,Lawrenceville,OZONE,26,Good,,
1/23/2018,Glassport High Street,PM10,27,Good,,
1/23/2018,Parkway East,PM25T,24,Good,,
1/23/2018,Liberty,SO2,4,Good,,
1/23/2018,Harrison Township,NO2,19,Good,,
1/23/2018,Lincoln,PM25,38,Good,,
1/23/2018,North Braddock,SO2,9,Good,,
1/23/2018,Flag Plaza,CO,0,Good,,
1/23/2018,Harrison Township,OZONE,28,Good,,
1/23/2018,South Fayette,OZONE,37,Good,,
1/23/2018,Flag Plaza,PM10,19,Good,,
1/23/2018,Avalon,SO2,0,Good,,
1/23/2018,Lawrenceville 2,SO2,3,Good,,
1/23/2018,Liberty 2,PM25T,16,Good,,
1/23/2018,North Braddock,PM10B,25,Good,,
1/23/2018,Lawrenceville,PM25B,22,Good,,
1/23/2018,South Fayette,SO2,0,Good,,
1/23/2018,Lawrenceville 2,CO,4,Good,,
1/23/2018,Parkway East,NO2,15,Good,,
1/23/2018,Liberty 2,PM10,19,Good,,
1/23/2018,Lincoln,PM10,23,Good,,
1/23/2018,Parkway East,CO,5,Good,,
1/24/2018,Flag Plaza,CO,0,Good,,
1/24/2018,Harrison Township,OZONE,30,Good,,
1/24/2018,Lincoln,PM25,21,Good,,
1/24/2018,Avalon,PM25T,26,Good,,
1/24/2018,Avalon,SO2,0,Good,,
1/24/2018,North Braddock,SO2,0,Good,,
1/24/2018,South Fayette,OZONE,31,Good,,
1/24/2018,Liberty 2,PM25T,22,Good,,
1/24/2018,Liberty,SO2,1,Good,,
1/24/2018,Lawrenceville,OZONE,27,Good,,
1/24/2018,Glassport High Street,PM10,6,Good,,
1/24/2018,Parkway East,PM25T,20,Good,,
1/24/2018,Lawrenceville 2,CO,2,Good,,
1/24/2018,Harrison Township,NO2,6,Good,,
1/24/2018,Liberty 2,PM10,5,Good,,
1/24/2018,Parkway East,CO,6,Good,,
1/24/2018,Parkway East,NO2,15,Good,,
1/24/2018,Flag Plaza,PM10,7,Good,,
1/24/2018,Lawrenceville 2,SO2,1,Good,,
1/24/2018,North Braddock,PM10B,6,Good,,
1/24/2018,Lawrenceville,PM25B,28,Good,,
1/24/2018,Lincoln,PM10,18,Good,,
1/24/2018,South Fayette,SO2,1,Good,,
1/25/2018,Parkway East,CO,7,Good,,
1/25/2018,South Fayette,OZONE,30,Good,,
1/25/2018,Glassport High Street,PM10,7,Good,,
1/25/2018,Avalon,SO2,0,Good,,
1/25/2018,Liberty,SO2,1,Good,,
1/25/2018,Lawrenceville 2,CO,4,Good,,
1/25/2018,Lawrenceville,OZONE,25,Good,,
1/25/2018,Liberty 2,PM10,6,Good,,
1/25/2018,Parkway East,PM25T,40,Good,,
1/25/2018,Parkway East,NO2,21,Good,,
1/25/2018,Avalon,PM25T,38,Good,,
1/25/2018,Liberty 2,PM25T,38,Good,,
1/25/2018,Lincoln,PM10,7,Good,,
1/25/2018,Flag Plaza,CO,0,Good,,
1/25/2018,North Braddock,PM10B,13,Good,,
1/25/2018,Lawrenceville,PM25B,39,Good,,
